data_type,approaches,distribution,repetition,train_loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
S,sst_ukl,setting2,2,0.08016042411327362,0.21447372436523438,102,5,10,54,0.9122807017543859,0.8985105140186915,0.9152542372881356,0.84375,0.8780487804878049,0.8113656890267845
S,sst_imise,setting2,2,0.15989340841770172,0.20823556184768677,105,2,8,56,0.9415204678362573,0.9281542056074766,0.9655172413793104,0.875,0.9180327868852459,0.8753039075843085
S,sst_hsm,setting2,2,0.10290795564651489,0.3204118013381958,84,23,1,63,0.8596491228070176,0.8847108644859814,0.7325581395348837,0.984375,0.84,0.7447107693276417
S,iil,setting2,2,0.19331565499305725,0.30259770154953003,89,18,1,63,0.8888888888888888,0.9080753504672897,0.7777777777777778,0.984375,0.8689655172413793,0.7910218311672426
S,Ciil,setting2,2,0.21164850890636444,0.24633941054344177,96,11,3,61,0.9181286549707602,0.9251606308411215,0.8472222222222222,0.953125,0.8970588235294118,0.8334529128662073
S,sst_uka,setting2,3,0.13665840029716492,0.22036361694335938,101,6,11,53,0.9005847953216374,0.8860251168224299,0.8983050847457628,0.828125,0.8617886178861789,0.7859454741452199
S,sst_umg,setting2,3,0.17553874850273132,0.23218867182731628,97,10,6,58,0.9064327485380117,0.9063960280373832,0.8529411764705882,0.90625,0.8787878787878788,0.8036894316038701
S,sst_ukk,setting2,3,0.3064976632595062,0.2883074879646301,96,11,2,62,0.9239766081871345,0.9329731308411215,0.8493150684931506,0.96875,0.9051094890510949,0.8472241945699198
S,sst_ukl,setting2,3,0.08537095785140991,0.2202388048171997,102,5,9,55,0.9181286549707602,0.9063230140186915,0.9166666666666666,0.859375,0.8870967741935484,0.8240359865997461
S,sst_imise,setting2,3,0.15412165224552155,0.20477284491062164,105,2,10,54,0.9298245614035088,0.9125292056074766,0.9642857142857143,0.84375,0.9,0.8507924715904475
S,sst_hsm,setting2,3,0.10527177155017853,0.3114449381828308,87,20,1,63,0.8771929824561403,0.8987295560747663,0.7590361445783133,0.984375,0.8571428571428571,0.7721646550959779
S,iil,setting2,3,0.16987651586532593,0.28578370809555054,90,17,1,63,0.8947368421052632,0.9127482476635513,0.7875,0.984375,0.875,0.8006291900821215
S,Ciil,setting2,3,0.19549183547496796,0.22940753400325775,98,9,2,62,0.935672514619883,0.9423189252336448,0.8732394366197183,0.96875,0.9185185185185185,0.8687968123475068
S,sst_uka,setting3,0,0.17105308175086975,0.24711757898330688,99,8,7,57,0.9122807017543859,0.9079293224299065,0.8769230769230769,0.890625,0.8837209302325582,0.8133681918450816
S,sst_umg,setting3,0,0.12571053206920624,0.23126430809497833,104,3,7,57,0.9415204678362573,0.931293808411215,0.95,0.890625,0.9193548387096774,0.8746775512748788
S,sst_ukk,setting3,0,0.29060208797454834,0.24252094328403473,103,4,2,62,0.9649122807017544,0.9656834112149533,0.9393939393939394,0.96875,0.9538461538461539,0.925840174066782
S,sst_ukl,setting3,0,0.08590333163738251,0.1950138658285141,104,3,8,56,0.935672514619883,0.923481308411215,0.9491525423728814,0.875,0.9105691056910569,0.8622061187899139
